#,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG per 90,npxG per 90,npxG+xAG per 90
1258,Boubakar Kouyaté,MLI,DF,Montpellier,fr Ligue 1,27,1997,21,20,"1,749",19.4,0,2,2,0,0,0,5,1,0.8,0.8,1.3,2.1,4,55,3,0.00,0.10,0.10,0.00,0.10,0.04,0.07,0.11,0.04,0.11
1259,Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,eng Premier League,34,1989,11,2,209,2.3,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,5,5,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14
1260,Mateo Kovačić,CRO,MF,Manchester City,eng Premier League,29,1994,24,12,"1,154",12.8,1,0,1,1,0,0,3,0,1.2,1.2,1.5,2.6,30,81,30,0.08,0.00,0.08,0.08,0.08,0.09,0.11,0.21,0.09,0.21
1261,Viktor Kovalenko,UKR,MF,Empoli,it Serie A,28,1996,16,4,584,6.5,1,1,2,1,0,0,0,0,0.9,0.9,0.8,1.7,4,19,23,0.15,0.15,0.31,0.15,0.31,0.13,0.12,0.26,0.13,0.26
1262,Matej Kovar,CZE,GK,Leverkusen,de Bundesliga,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1263,Dawid Kownacki,POL,"FW,MF",Werder Bremen,de Bundesliga,27,1997,17,3,339,3.8,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,4,5,22,0.00,0.00,0.00,0.00,0.00,0.28,0.03,0.31,0.28,0.31
1264,Emil Krafth,SWE,DF,Newcastle Utd,eng Premier League,29,1994,11,3,418,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.8,1.0,8,19,27,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22
1265,Alex Král,CZE,MF,Union Berlin,de Bundesliga,25,1998,23,13,"1,349",15.0,0,0,0,0,0,0,2,0,1.7,1.7,0.4,2.0,15,44,38,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.14,0.11,0.14
1266,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,de Bundesliga,32,1991,25,20,"1,756",19.5,9,2,11,4,5,5,3,0,8.0,4.0,4.6,8.7,48,94,129,0.46,0.10,0.56,0.21,0.31,0.41,0.24,0.65,0.21,0.44
1267,Christoph Kramer,GER,MF,M'Gladbach,de Bundesliga,33,1991,14,1,249,2.8,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,10,17,8,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1268,Frans Krätzig,GER,DF,Bayern Munich,de Bundesliga,21,2003,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0,7,7,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.84,0.42,0.84
1269,Tom Krauß,GER,MF,Mainz 05,de Bundesliga,22,2001,26,13,"1,277",14.2,1,2,3,1,0,0,4,0,0.8,0.8,0.3,1.1,12,62,27,0.07,0.14,0.21,0.07,0.21,0.05,0.02,0.08,0.05,0.08
1270,Rasmus Kristensen,DEN,DF,Roma,it Serie A,26,1997,25,16,"1,483",16.5,1,1,2,1,0,0,5,0,0.4,0.4,0.8,1.3,15,34,100,0.06,0.06,0.12,0.06,0.12,0.03,0.05,0.08,0.03,0.08
1271,Thomas Kristensen,DEN,DF,Udinese,it Serie A,22,2002,19,16,"1,466",16.3,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3,14,34,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
1272,Toni Kroos,GER,MF,Real Madrid,es La Liga,34,1990,29,21,"1,876",20.8,1,7,8,1,0,0,3,0,1.6,1.6,4.2,5.8,30,254,26,0.05,0.34,0.38,0.05,0.38,0.08,0.20,0.28,0.08,0.28
1273,Nikola Krstović,MNE,FW,Lecce,it Serie A,24,2000,29,24,"1,876",20.8,5,0,5,4,1,3,3,1,9.6,7.2,1.9,9.1,24,36,93,0.24,0.00,0.24,0.19,0.19,0.46,0.09,0.55,0.35,0.44
1274,Rade Krunić,BIH,MF,Milan,it Serie A,30,1993,10,8,687,7.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5,24,3,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08
1275,Lukas Kübler,GER,DF,Freiburg,de Bundesliga,31,1992,22,18,"1,487",16.5,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,6,61,24,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
1276,Takefusa Kubo,JPN,"FW,MF",Real Sociedad,es La Liga,22,2001,24,21,"1,812",20.1,7,3,10,7,0,0,1,0,3.4,3.4,5.0,8.4,113,68,192,0.35,0.15,0.50,0.35,0.50,0.17,0.25,0.42,0.17,0.42
1277,Dejan Kulusevski,SWE,"FW,MF",Tottenham,eng Premier League,23,2000,30,26,"2,322",25.8,6,3,9,6,0,0,6,0,3.6,3.6,6.9,10.4,133,122,323,0.23,0.12,0.35,0.23,0.35,0.14,0.27,0.40,0.14,0.40
1278,Sael Kumbedi,FRA,DF,Lyon,fr Ligue 1,19,2005,17,8,924,10.3,0,1,1,0,0,0,3,0,0.2,0.2,0.7,1.0,19,42,75,0.00,0.10,0.10,0.00,0.10,0.02,0.07,0.09,0.02,0.09
1279,Marash Kumbulla,ALB,"DF,FW",Sassuolo,it Serie A,24,2000,3,0,44,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1280,Justin Kumi,ITA,FW,Sassuolo,it Serie A,19,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1281,Layvin Kurzawa,FRA,DF,Paris S-G,fr Ligue 1,31,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1282,Berkan Kutlu,TUR,MF,Genoa,it Serie A,26,1998,6,0,199,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,5,9,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20
1283,Daler Kuzyaev,RUS,MF,Le Havre,fr Ligue 1,31,1993,25,22,"1,909",21.2,2,2,4,2,0,0,1,0,1.8,1.8,1.3,3.1,23,108,94,0.09,0.09,0.19,0.09,0.19,0.09,0.06,0.15,0.09,0.15
1284,Khvicha Kvaratskhelia,GEO,FW,Napoli,it Serie A,23,2001,29,27,"2,326",25.8,10,6,16,10,0,0,6,0,10.0,10.0,6.3,16.3,159,76,216,0.39,0.23,0.62,0.39,0.62,0.39,0.24,0.63,0.39,0.63
1285,Giorgi Kvernadze,GEO,"FW,DF",Frosinone,it Serie A,21,2003,5,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1286,Moritz-Broni Kwarteng,GHA,FW,Bochum,de Bundesliga,25,1998,11,2,281,3.1,0,1,1,0,0,0,1,1,1.0,1.0,0.5,1.6,8,6,24,0.00,0.32,0.32,0.00,0.32,0.33,0.17,0.51,0.33,0.51
1287,Grejohn Kyei,FRA,FW,Clermont Foot,fr Ligue 1,28,1995,22,7,743,8.3,2,0,2,1,1,1,1,0,4.0,3.2,0.5,3.7,12,19,69,0.24,0.00,0.24,0.12,0.12,0.48,0.06,0.54,0.38,0.45
1288,Giorgos Kyriakopoulos,GRE,DF,Monza,it Serie A,28,1996,22,15,"1,381",15.3,0,3,3,0,0,0,3,0,0.8,0.8,1.2,2.1,54,56,88,0.00,0.20,0.20,0.00,0.20,0.05,0.08,0.13,0.05,0.13
1289,Luca de la Torre,USA,MF,Celta Vigo,es La Liga,25,1998,26,21,"1,813",20.1,1,4,5,1,0,0,4,1,1.9,1.9,1.4,3.3,50,86,77,0.05,0.20,0.25,0.05,0.25,0.10,0.07,0.17,0.10,0.17
1290,Gaëtan Laborde,FRA,"FW,MF",Nice,fr Ligue 1,29,1994,28,21,"1,712",19.0,4,2,6,3,1,2,2,0,6.8,5.2,1.6,6.8,29,37,143,0.21,0.11,0.32,0.16,0.26,0.36,0.08,0.44,0.27,0.36
1291,Alexandre Lacazette,FRA,FW,Lyon,fr Ligue 1,32,1991,24,23,"1,941",21.6,15,0,15,14,1,1,2,1,8.1,7.3,1.4,8.7,17,50,124,0.70,0.00,0.70,0.65,0.65,0.38,0.07,0.44,0.34,0.41
1292,Maxence Lacroix,FRA,DF,Wolfsburg,de Bundesliga,24,2000,23,22,"1,912",21.2,3,1,4,3,0,0,4,3,0.7,0.7,0.6,1.3,2,68,4,0.14,0.05,0.19,0.14,0.19,0.03,0.03,0.06,0.03,0.06
1293,Alban Lafont,FRA,GK,Nantes,fr Ligue 1,25,1999,23,23,"2,046",22.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1294,Aïssa Laïdouni,TUN,MF,Union Berlin,de Bundesliga,27,1996,21,10,"1,028",11.4,0,3,3,0,0,0,1,0,0.7,0.7,0.6,1.3,23,54,40,0.00,0.26,0.26,0.00,0.26,0.06,0.06,0.12,0.06,0.12
1295,Konrad Laimer,AUT,"DF,MF",Bayern Munich,de Bundesliga,26,1997,25,16,"1,618",18.0,0,2,2,0,0,0,3,0,0.9,0.9,2.9,3.8,60,122,93,0.00,0.11,0.11,0.00,0.11,0.05,0.16,0.21,0.05,0.21
1296,Stefan Lainer,AUT,"DF,MF",M'Gladbach,de Bundesliga,31,1992,11,5,508,5.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,10,29,21,0.00,0.18,0.18,0.00,0.18,0.02,0.04,0.06,0.02,0.06
1297,Kenny Lala,MAD,DF,Brest,fr Ligue 1,32,1991,28,28,"2,520",28.0,1,2,3,1,0,0,5,0,0.3,0.3,2.5,2.8,37,163,73,0.04,0.07,0.11,0.04,0.11,0.01,0.09,0.10,0.01,0.10
1298,Adam Lallana,ENG,MF,Brighton,eng Premier League,35,1988,23,11,749,8.3,0,1,1,0,0,0,2,0,0.5,0.5,1.7,2.2,9,38,53,0.00,0.12,0.12,0.00,0.12,0.06,0.20,0.26,0.06,0.26
1299,Mathis Lambourde,FRA,FW,Rennes,fr Ligue 1,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1300,Érik Lamela,ARG,"FW,MF",Sevilla,es La Liga,32,1992,10,4,383,4.3,2,0,2,2,0,0,3,0,0.9,0.9,0.9,1.8,8,15,24,0.47,0.00,0.47,0.47,0.47,0.21,0.21,0.42,0.21,0.42
1301,Mohamed Lamine Bayo,GUI,FW,Le Havre,fr Ligue 1,25,1998,20,16,"1,341",14.9,4,1,5,3,1,1,4,0,6.4,5.6,0.6,6.2,17,20,111,0.27,0.07,0.34,0.20,0.27,0.43,0.04,0.47,0.38,0.41
1302,Didier Lamkel Zé,CMR,"FW,MF",Metz,fr Ligue 1,27,1996,7,7,525,5.8,1,0,1,1,0,0,0,0,1.6,1.6,0.9,2.5,13,18,23,0.17,0.00,0.17,0.17,0.17,0.27,0.16,0.43,0.27,0.43
1303,Tariq Lamptey,GHA,"DF,FW",Brighton,eng Premier League,23,2000,16,9,769,8.5,0,3,3,0,0,0,3,0,0.4,0.4,0.6,1.1,30,14,51,0.00,0.35,0.35,0.00,0.35,0.05,0.07,0.13,0.05,0.13
1304,Bruno Langa,MOZ,DF,Almería,es La Liga,26,1997,6,4,370,4.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.1,3,12,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
1305,Gianluca Lapadula,PER,FW,Cagliari,it Serie A,34,1990,18,11,920,10.2,2,1,3,2,0,0,3,0,3.3,3.3,0.7,3.9,5,3,50,0.20,0.10,0.29,0.20,0.29,0.32,0.06,0.38,0.32,0.38
1306,Aymeric Laporte,ESP,DF,Manchester City,eng Premier League,29,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
1307,Julien Laporte,FRA,DF,Lorient,fr Ligue 1,30,1993,18,16,"1,439",16.0,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,4,41,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1308,Cyle Larin,CAN,FW,Mallorca,es La Liga,29,1995,29,17,"1,516",16.8,2,2,4,2,0,0,8,0,7.5,7.5,1.4,8.9,18,10,84,0.12,0.12,0.24,0.12,0.24,0.45,0.08,0.53,0.45,0.53
1309,Yasser Larouci,ALG,DF,Sheffield Utd,eng Premier League,23,2001,10,5,477,5.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,17,12,11,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
1310,Hugo Larsson,SWE,MF,Eint Frankfurt,de Bundesliga,19,2004,24,21,"1,810",20.1,2,1,3,2,0,0,1,0,1.3,1.3,1.4,2.7,26,63,39,0.10,0.05,0.15,0.10,0.15,0.06,0.07,0.13,0.06,0.13
1311,Jamaal Lascelles,ENG,DF,Newcastle Utd,eng Premier League,30,1993,16,13,"1,080",12.0,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,8,31,3,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07
1312,Juanmi Latasa,ESP,FW,Getafe,es La Liga,23,2001,26,13,"1,284",14.3,2,0,2,2,0,0,6,1,3.1,3.1,1.0,4.1,7,15,64,0.14,0.00,0.14,0.14,0.14,0.22,0.07,0.29,0.22,0.29
1313,Toni Lato,ESP,DF,Mallorca,es La Liga,26,1997,24,14,"1,350",15.0,0,1,1,0,0,0,3,0,0.1,0.1,1.2,1.3,26,31,94,0.00,0.07,0.07,0.00,0.07,0.01,0.08,0.09,0.01,0.09
1314,Armand Lauriente,FRA,FW,Sassuolo,it Serie A,25,1998,32,31,"2,538",28.2,4,4,8,4,0,0,4,0,5.5,5.5,3.8,9.3,117,91,240,0.14,0.14,0.28,0.14,0.28,0.19,0.13,0.33,0.19,0.33
1315,Roméo Lavia,BEL,MF,Chelsea,eng Premier League,20,2004,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1316,Lázaro,BRA,"FW,MF",Almería,es La Liga,22,2002,14,2,285,3.2,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.4,5,6,34,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.45,0.28,0.45
1317,Valentino Lazaro,AUT,"DF,MF",Torino,it Serie A,28,1996,29,20,"1,840",20.4,0,2,2,0,0,0,3,0,1.7,1.7,2.2,3.9,51,89,99,0.00,0.10,0.10,0.00,0.10,0.08,0.11,0.19,0.08,0.19
1318,Darko Lazović,SRB,"FW,MF",Hellas Verona,it Serie A,33,1990,26,16,"1,485",16.5,2,1,3,2,0,0,0,1,1.9,1.8,2.5,4.3,34,50,104,0.12,0.06,0.18,0.12,0.18,0.11,0.15,0.27,0.11,0.26
1319,Manuel Lazzari,ITA,DF,Lazio,it Serie A,30,1993,21,17,"1,526",17.0,0,2,2,0,0,0,3,1,1.0,1.0,1.3,2.3,67,59,91,0.00,0.12,0.12,0.00,0.12,0.06,0.08,0.14,0.06,0.14
1320,Théo Le Bris,FRA,"DF,MF",Lorient,fr Ligue 1,21,2002,25,14,"1,455",16.2,0,2,2,0,0,0,2,0,1.2,1.2,1.6,2.8,56,55,110,0.00,0.12,0.12,0.00,0.12,0.07,0.10,0.17,0.07,0.17
1321,Julien Le Cardinal,FRA,DF,Brest,fr Ligue 1,26,1997,11,4,383,4.3,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,2,20,3,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
1322,Jérémy Le Douaron,FRA,FW,Brest,fr Ligue 1,25,1998,28,18,"1,495",16.6,4,0,4,4,0,0,2,0,6.0,6.0,1.0,7.1,45,18,113,0.24,0.00,0.24,0.24,0.24,0.36,0.06,0.43,0.36,0.43
1323,Enzo Le Fée,FRA,MF,Rennes,fr Ligue 1,24,2000,21,17,"1,326",14.7,0,1,1,0,0,0,2,0,0.4,0.4,1.5,1.9,40,106,44,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13
1324,Vincent Le Goff,FRA,"DF,MF",Lorient,fr Ligue 1,34,1989,9,8,541,6.0,1,1,2,1,0,0,1,0,0.1,0.1,0.9,1.0,9,22,51,0.17,0.17,0.33,0.17,0.33,0.02,0.15,0.17,0.02,0.17
1325,Robin Le Normand,ESP,DF,Real Sociedad,es La Liga,27,1996,24,23,"2,028",22.5,2,0,2,2,0,0,11,0,1.0,1.0,0.1,1.1,20,94,1,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05
1326,Nicola Leali,ITA,GK,Genoa,it Serie A,31,1993,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1327,Rafael Leão,POR,FW,Milan,it Serie A,24,1999,28,25,"2,133",23.7,7,8,15,7,0,0,5,0,6.3,6.3,7.6,13.9,143,95,251,0.30,0.34,0.63,0.30,0.63,0.27,0.32,0.59,0.27,0.59
1328,Adrien Lebeau,FRA,"MF,FW",Brest,fr Ligue 1,24,1999,6,0,41,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,0,5,0.00,2.20,2.20,0.00,2.20,0.07,1.01,1.08,0.07,1.08
1329,Benjamin Lecomte,FRA,GK,Montpellier,fr Ligue 1,32,1991,28,28,"2,520",28.0,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.02,0.02,0.00,0.02
1330,Jeremías Ledesma,ARG,GK,Cádiz,es La Liga,31,1993,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1331,Pierre Lees-Melou,FRA,MF,Brest,fr Ligue 1,30,1993,27,27,"2,400",26.7,4,0,4,4,0,0,11,1,2.4,2.4,2.2,4.6,49,185,41,0.15,0.00,0.15,0.15,0.15,0.09,0.08,0.17,0.09,0.17
1332,Diogo Leite,POR,DF,Union Berlin,de Bundesliga,25,1999,27,26,"2,313",25.7,0,0,0,0,0,0,6,0,0.8,0.8,0.2,1.0,13,104,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
1333,Maxim Leitsch,GER,DF,Mainz 05,de Bundesliga,25,1998,7,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1334,Florian Lejeune,FRA,DF,Rayo Vallecano,es La Liga,32,1991,30,30,"2,697",30.0,2,1,3,2,0,0,5,0,2.1,2.1,0.5,2.7,10,94,4,0.07,0.03,0.10,0.07,0.10,0.07,0.02,0.09,0.07,0.09
1335,Stefan Lekovic,SRB,DF,Villarreal,es La Liga,20,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1336,Iñigo Lekue,ESP,DF,Athletic Club,es La Liga,30,1993,21,17,"1,531",17.0,0,2,2,0,0,0,4,0,0.2,0.2,1.0,1.2,37,96,31,0.00,0.12,0.12,0.00,0.12,0.01,0.06,0.07,0.01,0.07
1337,Thomas Lemar,FRA,MF,Atlético Madrid,es La Liga,28,1995,3,3,164,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,13,9,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
1338,Mario Lemina,GAB,MF,Wolves,eng Premier League,30,1993,29,29,"2,523",28.0,4,0,4,4,0,0,11,1,4.4,4.4,0.8,5.2,29,64,42,0.14,0.00,0.14,0.14,0.14,0.16,0.03,0.19,0.16,0.19
1339,Álvaro Lemos,ESP,DF,Las Palmas,es La Liga,31,1993,3,2,194,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,15,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1340,Clément Lenglet,FRA,DF,Aston Villa,eng Premier League,28,1995,13,13,"1,063",11.8,0,1,1,0,0,0,2,0,0.9,0.9,0.8,1.6,26,50,1,0.00,0.08,0.08,0.00,0.08,0.07,0.06,0.14,0.07,0.14
1341,Bernd Leno,GER,GK,Fulham,eng Premier League,32,1992,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1342,Christopher Lenz,GER,"DF,MF",RB Leipzig,de Bundesliga,29,1994,4,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29
1343,Johann Lepenant,FRA,MF,Lyon,fr Ligue 1,21,2002,6,2,253,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,24,6,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
1344,Jefferson Lerma,COL,"MF,DF",Crystal Palace,eng Premier League,29,1994,27,27,"2,385",26.5,1,1,2,1,0,0,8,0,2.7,2.7,2.2,4.8,14,105,50,0.04,0.04,0.08,0.04,0.08,0.10,0.08,0.18,0.10,0.18
1345,Léo Leroy,FRA,MF,Montpellier,fr Ligue 1,24,2000,18,2,366,4.1,0,1,1,0,0,0,3,0,0.8,0.8,0.7,1.5,7,21,8,0.00,0.25,0.25,0.00,0.25,0.19,0.17,0.36,0.19,0.36
1346,Robert Lewandowski,POL,FW,Barcelona,es La Liga,35,1988,28,25,"2,237",24.9,13,8,21,10,3,3,5,0,15.8,13.4,4.5,17.9,35,50,142,0.52,0.32,0.84,0.40,0.72,0.64,0.18,0.82,0.54,0.72
1347,Jamie Leweling,GER,"FW,MF",Stuttgart,de Bundesliga,23,2001,29,12,"1,166",13.0,4,4,8,4,0,0,2,0,5.5,5.5,2.9,8.5,52,24,133,0.31,0.31,0.62,0.31,0.62,0.43,0.23,0.65,0.43,0.65
1348,Rico Lewis,ENG,"DF,MF",Manchester City,eng Premier League,19,2004,14,8,788,8.8,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.8,19,31,42,0.23,0.00,0.23,0.23,0.23,0.07,0.13,0.20,0.07,0.20
1349,Keane Lewis-Potter,ENG,"DF,FW",Brentford,eng Premier League,23,2001,26,12,"1,221",13.6,2,1,3,2,0,0,0,0,4.3,4.3,1.7,6.0,44,29,108,0.15,0.07,0.22,0.15,0.22,0.32,0.12,0.44,0.32,0.44
1350,Philipp Lienhart,AUT,DF,Freiburg,de Bundesliga,27,1996,15,14,"1,265",14.1,1,0,1,1,0,0,3,0,1.1,1.1,1.1,2.2,14,53,3,0.07,0.00,0.07,0.07,0.07,0.08,0.08,0.16,0.08,0.16
1351,Matthijs de Ligt,NED,DF,Bayern Munich,de Bundesliga,24,1999,19,14,"1,239",13.8,2,0,2,2,0,0,5,0,1.7,1.7,0.1,1.8,15,88,6,0.15,0.00,0.15,0.15,0.15,0.12,0.01,0.13,0.12,0.13
1352,Victor Lindelöf,SWE,DF,Manchester Utd,eng Premier League,29,1994,19,14,"1,328",14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,17,40,17,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07
1353,Jesper Lindstrøm,DEN,"FW,MF",Napoli,it Serie A,24,2000,20,1,345,3.8,0,0,0,0,0,0,2,0,0.6,0.6,0.9,1.6,14,14,28,0.00,0.00,0.00,0.00,0.00,0.17,0.24,0.41,0.17,0.41
1354,Karol Linetty,POL,MF,Torino,it Serie A,29,1995,23,16,"1,496",16.6,0,0,0,0,0,0,9,0,0.3,0.3,0.6,0.9,27,76,20,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05
1355,Samuel Lino,BRA,"DF,MF",Atlético Madrid,es La Liga,24,1999,27,18,"1,570",17.4,3,2,5,3,0,0,1,0,3.1,3.1,3.7,6.8,105,67,168,0.17,0.11,0.29,0.17,0.29,0.18,0.21,0.39,0.18,0.39
1356,Luca Lipani,ITA,MF,Sassuolo,it Serie A,18,2005,4,3,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04
1357,Pol Lirola,ESP,DF,Frosinone,it Serie A,26,1997,19,12,"1,042",11.6,2,1,3,2,0,0,1,0,1.2,1.2,0.8,2.0,19,50,49,0.17,0.09,0.26,0.17,0.26,0.10,0.07,0.17,0.10,0.17
1358,Marcin Listkowski,POL,FW,Lecce,it Serie A,26,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.47,0.47,0.47
1359,Valentino Livramento,ENG,DF,Newcastle Utd,eng Premier League,21,2002,23,9,"1,044",11.6,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.7,33,36,56,0.09,0.00,0.09,0.09,0.09,0.02,0.04,0.06,0.02,0.06
1360,Dejan Ljubicic,AUT,"MF,FW",Köln,de Bundesliga,26,1997,25,23,"1,958",21.8,0,2,2,0,0,0,6,0,1.8,1.8,2.7,4.5,39,76,67,0.00,0.09,0.09,0.00,0.09,0.08,0.13,0.21,0.08,0.21
1361,Javier Llabrés,ESP,"MF,FW",Mallorca,es La Liga,21,2002,14,0,173,1.9,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,5,1,20,0.52,0.00,0.52,0.52,0.52,0.32,0.12,0.44,0.32,0.44
1362,Diego Llorente,ESP,DF,Roma,it Serie A,30,1993,25,23,"1,900",21.1,1,1,2,1,0,0,4,0,0.2,0.2,0.5,0.7,16,59,3,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.04,0.01,0.04
1363,Marcos Llorente,ESP,"MF,DF",Atlético Madrid,es La Liga,29,1995,31,23,"2,038",22.6,6,3,9,6,0,0,5,0,3.1,3.1,4.4,7.5,57,85,138,0.26,0.13,0.40,0.26,0.40,0.14,0.20,0.33,0.14,0.33
1364,Gautier Lloris,FRA,DF,Le Havre,fr Ligue 1,28,1995,27,27,"2,418",26.9,2,0,2,2,0,0,2,0,2.0,2.0,0.2,2.1,12,103,5,0.07,0.00,0.07,0.07,0.07,0.07,0.01,0.08,0.07,0.08
